Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
India,IND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,64.94759369,67.12516785,69.80895996,69.47712708,74.88870239,74.61136627,75.93728638,74.67437744,76.00257874,75.8716507,77.97664333
India,IND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,18.54176741,23.26627003,24.73120972,24.16383285,25.75361131,27.06464115,27.087599,27.73110892,28.35407379,28.79969497,29.56197061
India,IND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,68.33547187,69.30000305,69.83505872,..,..,..,..,..,73.69754303,74.90842683,75.5437727
India,IND,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,5.3,..,..,..,..,..,..,..,..,..
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.652,7.616,7.666,7.711,7.674,7.631,7.601,7.618,7.652,6.51,7.859
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3065.683484,3579.464425,3632.27254,3566.602845,3441.068085,3288.222697,3521.469435,3798.883262,3860.953531,4106.948562,3853.702888
Indonesia,IDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.81227994,3.189440012,3.407480001,3.359040022,3.288009882,3.583600044,1.210234525,1.053243825,0.994436461,0.964399078,1.015932213
Indonesia,IDN,"School enrollment, primary (% gross)",SE.PRM.ENRR,113.0107751,114.6841376,115.2010696,111.6566751,109.6596086,107.9835258,105.9223919,104.3825213,103.2995429,101.2646858,100.9519337
Indonesia,IDN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,75.65190887,78.1330719,80.09268188,81.88969748,83.55599493,87.84232079,87.81917917,90.94553912,92.81207396,94.94670449,96.93457791
Indonesia,IDN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,23.41590864,25.02744419,29.04253912,29.89452917,29.99049105,32.45902004,34.83071734,35.96701236,36.1494878,37.32308627,38.16506014
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,92.31999969,92.80999756,..,..,95.12000275,95.22000122,95.37999725,..,95.66000366,..,96
